연도,시도,회사,용도,수요가수,공급량
2001,울산,경동,수송용,7.0,156.0
2001,울산,경동,업무난방용,553.0,10800.0
2001,울산,경동,연료전지용,,
2001,울산,경동,열병합용,0.0,0.0
2001,울산,경동,일반용1,2534.0,4985.0
2001,울산,경동,일반용2,111.0,8577.0
2001,울산,경동,집단에너지용,,
2001,울산,경동,취사용,19728.0,25201.0
2001,인천,삼천리,개별난방용,173412.0,193417.0
2001,인천,삼천리,냉난방용,140.0,4436.0
2001,인천,삼천리,산업용,426.0,287501.0
2001,인천,삼천리,수송용,7.0,321.0
2001,인천,삼천리,업무난방용,788.0,16614.0
2001,인천,삼천리,연료전지용,,
2001,인천,삼천리,열병합용,0.0,0.0
2001,인천,삼천리,일반용1,1580.0,7679.0
2001,인천,삼천리,일반용2,97.0,11173.0
2001,인천,삼천리,집단에너지용,,
2001,인천,삼천리,취사용,36092.0,25587.0
2001,인천,인천,개별난방용,350960.0,335888.0
2001,인천,인천,냉난방용,194.0,6874.0
2001,인천,인천,산업용,101.0,104893.0
2001,인천,인천,수송용,0.0,0.0
2001,인천,인천,업무난방용,3852.0,22488.0
2001,인천,인천,연료전지용,,
2001,인천,인천,열병합용,0.0,0.0
2001,인천,인천,일반용1,3065.0,12238.0
2001,인천,인천,일반용2,199.0,14436.0
2001,인천,인천,집단에너지용,,
2001,인천,인천,취사용,80943.0,50154.0
2001,전남,대화,개별난방용,24066.0,21682.0
2001,전남,대화,냉난방용,21.0,398.0
2001,전남,대화,산업용,4.0,1442.0
2001,전남,대화,수송용,0.0,0.0
2001,전남,대화,업무난방용,83.0,1087.0
2001,전남,대화,연료전지용,,
2001,전남,대화,열병합용,0.0,0.0
2001,전남,대화,일반용1,14.0,625.0
2001,전남,대화,일반용2,143.0,289.0
2001,전남,대화,집단에너지용,,
2001,전남,대화,취사용,11426.0,4406.0
2001,전남,목포,개별난방용,30062.0,18185.0
2001,전남,목포,냉난방용,27.0,989.0
2001,전남,목포,산업용,8.0,3135.0
2001,전남,목포,수송용,0.0,0.0
2001,전남,목포,업무난방용,48.0,1426.0
2001,전남,목포,연료전지용,,
2001,전남,목포,열병합용,0.0,0.0
2001,전남,목포,일반용1,183.0,516.0
2001,전남,목포,일반용2,19.0,798.0
2001,전남,목포,집단에너지용,,
2001,전남,목포,취사용,3614.0,4577.0
2001,전남,전남,개별난방용,50168.0,35228.0
2001,전남,전남,냉난방용,60.0,1818.0
2001,전남,전남,산업용,8.0,82855.0
2001,전남,전남,수송용,0.0,0.0
2001,전남,전남,업무난방용,463.0,3689.0
2001,전남,전남,연료전지용,,
2001,전남,전남,열병합용,0.0,0.0
2001,전남,전남,일반용1,608.0,1410.0
2001,전남,전남,일반용2,3.0,254.0
2001,전남,전남,집단에너지용,,
2001,전남,전남,취사용,12368.0,2025.0
2001,전북,군산,개별난방용,26020.0,16165.0
2001,전북,군산,냉난방용,0.0,773.0
2001,전북,군산,산업용,21.0,21426.0
2001,전북,군산,수송용,0.0,0.0
2001,전북,군산,업무난방용,158.0,1567.0
2001,전북,군산,연료전지용,,
2001,전북,군산,열병합용,0.0,0.0
2001,전북,군산,일반용1,229.0,2164.0
2001,전북,군산,일반용2,0.0,0.0
2001,전북,군산,집단에너지용,,
2001,전북,군산,취사용,7671.0,2776.0
2001,전북,익산,개별난방용,37381.0,20380.0
2001,전북,익산,냉난방용,24.0,546.0
2001,전북,익산,산업용,43.0,22853.0
2001,전북,익산,수송용,0.0,0.0
2001,전북,익산,업무난방용,277.0,3383.0
2001,전북,익산,연료전지용,,
2001,전북,익산,열병합용,0.0,0.0
2001,전북,익산,일반용1,312.0,949.0
2001,전북,익산,일반용2,34.0,1627.0
2001,전북,익산,집단에너지용,,
2001,전북,익산,취사용,5425.0,9406.0
2001,전북,전북,개별난방용,99280.0,81287.0
2001,전북,전북,냉난방용,112.0,3275.0
2001,전북,전북,산업용,114.0,31405.0
2001,전북,전북,수송용,5.0,58.0
2001,전북,전북,업무난방용,501.0,10455.0
2001,전북,전북,연료전지용,,
2001,전북,전북,열병합용,0.0,0.0
2001,전북,전북,일반용1,1900.0,8710.0
2001,전북,전북,일반용2,0.0,0.0
2001,전북,전북,집단에너지용,,
2001,전북,전북,취사용,11185.0,15175.0
2001,충남,중부,개별난방용,67507.0,61973.0
2001,충남,중부,냉난방용,31.0,1750.0
2001,충남,중부,산업용,79.0,140399.0
2001,충남,중부,수송용,0.0,0.0
2001,충남,중부,업무난방용,491.0,4685.0
2001,충남,중부,연료전지용,,
2001,충남,중부,열병합용,0.0,0.0
2001,충남,중부,일반용1,338.0,1105.0
2001,충남,중부,일반용2,72.0,4545.0
2001,충남,중부,집단에너지용,,
2001,충남,중부,취사용,18372.0,9742.0
2001,충남,한보,개별난방용,4795.0,2590.0
2001,충남,한보,냉난방용,1.0,0.0
2001,충남,한보,산업용,4.0,56004.0
2001,충남,한보,수송용,0.0,0.0
2001,충남,한보,업무난방용,17.0,112.0
2001,충남,한보,연료전지용,,
2001,충남,한보,열병합용,0.0,0.0
2001,충남,한보,일반용1,5.0,12.0
2001,충남,한보,일반용2,0.0,0.0
2001,충남,한보,집단에너지용,,
2001,충남,한보,취사용,0.0,390.0
2001,충북,참빛충북,개별난방용,10054.0,9904.0
2001,충북,참빛충북,냉난방용,3.0,89.0
2001,충북,참빛충북,산업용,0.0,0.0
2001,충북,참빛충북,수송용,0.0,0.0
2001,충북,참빛충북,업무난방용,6.0,311.0
2001,충북,참빛충북,연료전지용,,
2001,충북,참빛충북,열병합용,0.0,0.0
2001,충북,참빛충북,일반용1,37.0,296.0
2001,충북,참빛충북,일반용2,0.0,0.0
2001,충북,참빛충북,집단에너지용,,
2001,충북,참빛충북,취사용,5947.0,1083.0
2001,충북,청주,개별난방용,74730.0,83174.0
2001,충북,청주,냉난방용,80.0,2423.0
2001,충북,청주,산업용,61.0,85895.0
2001,충북,청주,수송용,0.0,0.0
2001,충북,청주,업무난방용,2426.0,8594.0
2001,충북,청주,연료전지용,,
2001,충북,청주,열병합용,0.0,0.0
2001,충북,청주,일반용1,1693.0,8134.0
2001,충북,청주,일반용2,0.0,0.0
2001,충북,청주,집단에너지용,,
2001,충북,청주,취사용,49655.0,4044.0
2002,강원,강원,개별난방용,37403.0,32902.0
2002,강원,강원,냉난방용,45.0,709.0
2002,강원,강원,산업용,5.0,18.0
2002,강원,강원,수송용,0.0,0.0
2002,강원,강원,업무난방용,426.0,9320.0
2002,강원,강원,연료전지용,,
2002,강원,강원,열병합용,0.0,0.0
2002,강원,강원,일반용1,1081.0,3574.0
2002,강원,강원,일반용2,0.0,0.0
2002,강원,강원,집단에너지용,,
2002,강원,강원,취사용,9147.0,1296.0
2002,강원,참빛,개별난방용,10798.0,7503.0
2002,강원,참빛,냉난방용,3.0,43.0
2002,강원,참빛,산업용,0.0,0.0
2002,강원,참빛,수송용,0.0,0.0
2002,강원,참빛,업무난방용,0.0,360.0
2002,강원,참빛,연료전지용,,
2002,강원,참빛,열병합용,0.0,0.0
2002,강원,참빛,일반용1,14.0,93.0
2002,강원,참빛,일반용2,0.0,0.0
2002,강원,참빛,집단에너지용,,
2002,강원,참빛,취사용,0.0,991.0
2002,강원,참빛영동,개별난방용,11305.0,9522.0
2002,강원,참빛영동,냉난방용,2.0,1.0
2002,강원,참빛영동,산업용,0.0,0.0
2002,강원,참빛영동,수송용,0.0,0.0
2002,강원,참빛영동,업무난방용,28.0,685.0
2002,강원,참빛영동,연료전지용,,
2002,강원,참빛영동,열병합용,0.0,0.0
2002,강원,참빛영동,일반용1,69.0,1051.0
2002,강원,참빛영동,일반용2,0.0,0.0
2002,강원,참빛영동,집단에너지용,,
2002,강원,참빛영동,취사용,995.0,75.0
2002,강원,참빛원주,개별난방용,38578.0,40367.0
2002,강원,참빛원주,냉난방용,31.0,441.0
2002,강원,참빛원주,산업용,8.0,3744.0
2002,강원,참빛원주,수송용,0.0,0.0
2002,강원,참빛원주,업무난방용,201.0,3126.0
2002,강원,참빛원주,연료전지용,,
2002,강원,참빛원주,열병합용,0.0,0.0
2002,강원,참빛원주,일반용1,396.0,1709.0
2002,강원,참빛원주,일반용2,7.0,663.0
2002,강원,참빛원주,집단에너지용,,
2002,강원,참빛원주,취사용,7915.0,692.0
2002,경기,극동,개별난방용,118748.0,141743.0
2002,경기,극동,냉난방용,47.0,1630.0
2002,경기,극동,산업용,15.0,7015.0
2002,경기,극동,수송용,0.0,0.0
2002,경기,극동,업무난방용,1043.0,6009.0
2002,경기,극동,연료전지용,,
2002,경기,극동,열병합용,0.0,0.0
2002,경기,극동,일반용1,1610.0,5764.0
2002,경기,극동,일반용2,55.0,5691.0
2002,경기,극동,집단에너지용,,
2002,경기,극동,취사용,17683.0,17876.0
2002,경기,대한,개별난방용,275213.0,264692.0
2002,경기,대한,냉난방용,249.0,7527.0
2002,경기,대한,산업용,245.0,53434.0
2002,경기,대한,수송용,4.0,8683.0
2002,경기,대한,업무난방용,2464.0,24955.0
2002,경기,대한,연료전지용,,
2002,경기,대한,열병합용,2.0,1331.0
2002,경기,대한,일반용1,11838.0,28131.0
2002,경기,대한,일반용2,179.0,16419.0
2002,경기,대한,집단에너지용,,
2002,경기,대한,취사용,113828.0,46120.0
2002,경기,삼천리,개별난방용,1045770.0,948375.0
2002,경기,삼천리,냉난방용,527.0,21596.0
2002,경기,삼천리,산업용,1013.0,712972.0
2002,경기,삼천리,수송용,14.0,13328.0
2002,경기,삼천리,업무난방용,5637.0,102871.0
2002,경기,삼천리,연료전지용,,
2002,경기,삼천리,열병합용,3.0,1892.0
2002,경기,삼천리,일반용1,12961.0,46217.0
2002,경기,삼천리,일반용2,388.0,39715.0
2002,경기,삼천리,집단에너지용,,
2002,경기,삼천리,취사용,397921.0,171345.0
2002,경기,서울,개별난방용,142149.0,141656.0
2002,경기,서울,냉난방용,127.0,5356.0
2002,경기,서울,산업용,122.0,15513.0
2002,경기,서울,수송용,0.0,0.0
2002,경기,서울,업무난방용,2612.0,10134.0
2002,경기,서울,연료전지용,,
2002,경기,서울,열병합용,0.0,0.0
2002,경기,서울,일반용1,8691.0,16667.0
2002,경기,서울,일반용2,233.0,13939.0
2002,경기,서울,집단에너지용,,
2002,경기,서울,취사용,140025.0,28886.0
2002,경기,한진,개별난방용,102019.0,123662.0
2002,경기,한진,냉난방용,55.0,1000.0
2002,경기,한진,산업용,157.0,28002.0
2002,경기,한진,수송용,0.0,0.0
2002,경기,한진,업무난방용,1250.0,9556.0
2002,경기,한진,연료전지용,,
2002,경기,한진,열병합용,0.0,0.0
2002,경기,한진,일반용1,1242.0,6342.0
2002,경기,한진,일반용2,65.0,5523.0
2002,경기,한진,집단에너지용,,
2002,경기,한진,취사용,27665.0,15291.0
2002,경남,경남,개별난방용,190566.0,133762.0
2002,경남,경남,냉난방용,180.0,6835.0
2002,경남,경남,산업용,430.0,183834.0
2002,경남,경남,수송용,2.0,3726.0
2002,경남,경남,업무난방용,644.0,17201.0
2002,경남,경남,연료전지용,,
2002,경남,경남,열병합용,2.0,2643.0
2002,경남,경남,일반용1,20538.0,20246.0
2002,경남,경남,일반용2,245.0,14755.0
2002,경남,경남,집단에너지용,,
2002,경남,경남,취사용,36385.0,29014.0
2002,경남,신아,개별난방용,18749.0,18502.0
2002,경남,신아,냉난방용,23.0,1341.0
2002,경남,신아,산업용,50.0,26358.0
2002,경남,신아,수송용,0.0,0.0
2002,경남,신아,업무난방용,8.0,2193.0
2002,경남,신아,연료전지용,,
2002,경남,신아,열병합용,0.0,0.0
2002,경남,신아,일반용1,199.0,907.0
2002,경남,신아,일반용2,13.0,1108.0
2002,경남,신아,집단에너지용,,
2002,경남,신아,취사용,8171.0,713.0
2002,경북,경북,개별난방용,10767.0,8640.0
2002,경북,경북,냉난방용,11.0,165.0
2002,경북,경북,산업용,5.0,2866.0
2002,경북,경북,수송용,0.0,0.0
2002,경북,경북,업무난방용,11.0,585.0
2002,경북,경북,연료전지용,,
2002,경북,경북,열병합용,0.0,0.0
2002,경북,경북,일반용1,333.0,787.0
2002,경북,경북,일반용2,0.0,0.0
2002,경북,경북,집단에너지용,,
2002,경북,경북,취사용,7344.0,1767.0
2002,경북,구미,개별난방용,71088.0,60680.0
2002,경북,구미,냉난방용,36.0,1044.0
2002,경북,구미,산업용,182.0,221818.0
2002,경북,구미,수송용,0.0,0.0
2002,경북,구미,업무난방용,242.0,5097.0
2002,경북,구미,연료전지용,,
2002,경북,구미,열병합용,0.0,0.0
2002,경북,구미,일반용1,1681.0,3418.0
2002,경북,구미,일반용2,67.0,3711.0
2002,경북,구미,집단에너지용,,
2002,경북,구미,취사용,8542.0,8890.0
2002,경북,서라벌,개별난방용,29609.0,22485.0
2002,경북,서라벌,냉난방용,10.0,634.0
2002,경북,서라벌,산업용,22.0,17380.0
2002,경북,서라벌,수송용,0.0,0.0
2002,경북,서라벌,업무난방용,18.0,1402.0
2002,경북,서라벌,연료전지용,,
2002,경북,서라벌,열병합용,0.0,0.0
2002,경북,서라벌,일반용1,275.0,422.0
2002,경북,서라벌,일반용2,42.0,6948.0
2002,경북,서라벌,집단에너지용,,
2002,경북,서라벌,취사용,6784.0,3387.0
2002,경북,포항,개별난방용,45906.0,42724.0
2002,경북,포항,냉난방용,0.0,1394.0
2002,경북,포항,산업용,87.0,178760.0
2002,경북,포항,수송용,0.0,0.0
2002,경북,포항,업무난방용,276.0,3957.0
2002,경북,포항,연료전지용,,
2002,경북,포항,열병합용,0.0,0.0
2002,경북,포항,일반용1,682.0,2182.0
2002,경북,포항,일반용2,41.0,3561.0
2002,경북,포항,집단에너지용,,
2002,경북,포항,취사용,17589.0,5545.0
2002,광주,해양,개별난방용,239041.0,168715.0
2002,광주,해양,냉난방용,278.0,10759.0
2002,광주,해양,산업용,302.0,62422.0
2002,광주,해양,수송용,11.0,4560.0
2002,광주,해양,업무난방용,1618.0,23287.0
2002,광주,해양,연료전지용,,
2002,광주,해양,열병합용,1.0,0.0
2002,광주,해양,일반용1,6584.0,13092.0
2002,광주,해양,일반용2,77.0,6895.0
2002,광주,해양,집단에너지용,,
2002,광주,해양,취사용,34323.0,37240.0
2002,대구,대구,개별난방용,302728.0,277966.0
2002,대구,대구,냉난방용,375.0,15794.0
2002,대구,대구,산업용,901.0,290606.0
2002,대구,대구,수송용,30.0,8283.0
2002,대구,대구,업무난방용,1321.0,30201.0
2002,대구,대구,연료전지용,,
2002,대구,대구,열병합용,0.0,0.0
2002,대구,대구,일반용1,7461.0,13098.0
2002,대구,대구,일반용2,431.0,40198.0
2002,대구,대구,집단에너지용,,
2002,대구,대구,취사용,139223.0,50458.0
2002,대전,충남,개별난방용,171375.0,234115.0
2002,대전,충남,냉난방용,475.0,14005.0
2002,대전,충남,산업용,212.0,32384.0
2002,대전,충남,수송용,15.0,4987.0
2002,대전,충남,업무난방용,3549.0,55192.0
2002,대전,충남,연료전지용,,
2002,대전,충남,열병합용,3.0,1157.0
2002,대전,충남,일반용1,4974.0,36448.0
2002,대전,충남,일반용2,133.0,9837.0
2002,대전,충남,집단에너지용,,
2002,대전,충남,취사용,124942.0,30736.0
2002,부산,부산,개별난방용,342076.0,317933.0
2002,부산,부산,냉난방용,587.0,29548.0
2002,부산,부산,산업용,544.0,262037.0
